Times,Time,Mean_OBS_T,Mean_IBS_T,Mean_OBS_IBS_Current,Max_OBS_IBS_Current,Min_OBS_IBS_Current,SCM_T,EAS_T
2023-06-26,2023-06-26 00:05:30.870977,-85.06439970720143,-73.07842960709512,0.156310818070818,0.208706398046398,0.103915238095238,-111.91146897761969,-5.539575747468465
2023-06-26,2023-06-26 00:19:30.872455,-85.43951806998194,-73.48503377259028,0.21167218559218548,0.212660781440781,0.21068358974359,-111.90308535062177,-6.503964086706899
2023-06-26,2023-06-26 00:34:30.874023,-85.53996445622414,-73.60028438639274,0.1592766056166055,0.212660781440781,0.10589242979243,-111.90950139169144,-7.51320769753789
2023-06-26,2023-06-26 00:48:30.875487,-83.01636011514861,-70.87944789574377,0.1602652014652015,0.214637973137973,0.10589242979243,-111.9095869389059,-3.75657870166708
2023-06-26,2023-06-26 01:02:30.876965,-83.76837465285554,-71.71386233967372,0.1582880097680095,0.212660781440781,0.103915238095238,-111.8997062356583,-5.73021065173651
2023-06-26,2023-06-26 01:17:30.878533,-83.85637635407653,-71.7996087963428,0.1582880097680095,0.214637973137973,0.101938046398046,-111.90347031308586,-7.34500042906606
2023-06-26,2023-06-26 01:31:30.880012,-84.467054826186,-72.46345233184509,0.1563108180708178,0.212660781440781,0.0999608547008546,-111.90817540987052,-3.16224635306662
2023-06-26,2023-06-26 01:46:30.881550,-84.5337227816565,-72.52707067066403,0.1582880097680095,0.212660781440781,0.103915238095238,-111.91664458408266,-5.433044477436285
2023-06-26,2023-06-26 02:00:30.883013,-85.05728845861789,-73.06920955799087,0.1563108180708178,0.212660781440781,0.0999608547008546,-111.9095869389059,-6.73945426256745
2023-06-26,2023-06-26 02:14:30.884477,-85.42974010317965,-73.47396971366523,0.1572994139194135,0.212660781440781,0.101938046398046,-111.91121233597688,-7.56927678702846
2023-06-26,2023-06-26 02:29:30.886045,-85.5390755501512,-73.57262423908016,0.214637973137973,0.214637973137973,0.214637973137973,-111.91720064097535,-3.78461324641239
2023-06-26,2023-06-26 02:43:30.887509,-83.01547120907567,-70.88497992520628,0.1563108180708178,0.212660781440781,0.0999608547008546,-111.9067638808352,-5.76385210543089
2023-06-26,2023-06-26 02:57:30.888972,-83.77548590143905,-71.70740830530079,0.16125379731379702,0.218592356532356,0.103915238095238,-111.90535235179975,-7.378641882760405
2023-06-26,2023-06-26 03:12:30.890555,-83.85637635407653,-71.80882884544695,0.1602652014652013,0.220569548229548,0.0999608547008546,-111.90158827437214,-3.20710162465912
2023-06-26,2023-06-26 03:26:30.892019,-84.44660998650845,-72.42196211087618,0.1572994139194135,0.212660781440781,0.101938046398046,-111.90064725501516,-5.50593429377409
2023-06-26,2023-06-26 03:41:30.893618,-84.52572262700004,-72.50678656263484,0.156310818070818,0.21068358974359,0.101938046398046,-111.90064725501516,-6.78430953415995
2023-06-26,2023-06-26 03:55:30.895035,-85.0279545582109,-73.03970540085747,0.1582880097680095,0.212660781440781,0.103915238095238,-111.91193948729816,-6.234832457151979
2023-06-26,2023-06-26 04:09:30.896499,-85.45462947322193,-73.51361592481327,0.213649377289377,0.214637973137973,0.212660781440781,-111.90308535062185,-3.96964124173138
2023-06-26,2023-06-26 04:24:30.898067,-85.52396414691124,-73.5689362194385,0.1572994139194135,0.212660781440781,0.101938046398046,-111.89838025383719,-5.84234883071775
2023-06-26,2023-06-26 04:38:30.899530,-82.99147074510635,-70.86746183190832,0.1592766056166055,0.216615164835165,0.101938046398046,-111.90535235179955,-7.429104063301965
2023-06-26,2023-06-26 04:53:30.901098,-83.0874726009838,-70.93845621001067,0.1572994139194135,0.212660781440781,0.101938046398046,-111.90488184212131,-3.45380561841779
2023-06-26,2023-06-26 05:07:30.902562,-83.81281995650251,-71.74428850171758,0.1582880097680095,0.212660781440781,0.103915238095238,-111.9020587840505,-5.53957574746846
2023-06-26,2023-06-26 05:21:30.904040,-84.47327716869661,-72.44962225818875,0.1563108180708178,0.212660781440781,0.0999608547008546,-111.90252929372909,-6.73945426256745
2023-06-26,2023-06-26 05:36:30.905609,-84.51416684805184,-72.48004842023265,0.1572994139194135,0.212660781440781,0.101938046398046,-111.90629337115665,-7.333786611167939
2023-06-26,2023-06-26 05:50:30.907087,-85.04928830396146,-73.07197557272212,0.1563108180708178,0.212660781440781,0.0999608547008546,-111.90911642922745,-3.82386160905583
